name,brand,ratingValue,ratingCount,gender_score,priceValue_score,timeOfDay_score,season_score,Woody & Earthy,Smoky & Leathery,Resinous & Balsamic,Citrus & Fresh,Green & Herbal,Warm & Spicy,Sweet & Gourmand,Floral,Powdery & Soft,Synthetic,Uncommon,notesBreakdown
1 Million Elixir,Rabanne,4.4,4350.0,0.88539,0.01988,-0.42107,0.31221,0.13123,0.0,2.07309,0.0,0.91553,0.0,0.49869,1.6892,0.35546,0.0,0.0,"{'topnotes': ['Apple', 'Davana'], 'midnotes': ['Cedar', 'Damask Rose', 'Osmanthus'], 'bottomnotes': ['Tonka Bean', 'Vanilla Absolute', 'Patchouli']}"
Pure XS Night,Rabanne,4.13,1360.0,1.42611,0.13365,-0.73891,0.31634,0.0,0.0,2.08461,0.0,0.66459,2.06244,5.77123,0.0,0.0,0.0,0.0,"{'topnotes': ['Ginseng', 'Ginger'], 'midnotes': ['Vanilla', 'Cacao', 'Cinnamon'], 'bottomnotes': ['Caramel', 'Myrrh']}"
Ultrared Men,Rabanne,4.33,1447.0,0.81746,0.76814,0.08976,0.23528,1.22669,0.0,2.2677,0.5194,0.0,0.30145,0.96186,0.0,1.78637,0.0,0.0,"{'topnotes': ['Blood Orange'], 'midnotes': ['Praline', 'Tonka Bean'], 'bottomnotes': ['Vanilla', 'Patchouli']}"
Habdan,Parfums de Marly,4.25,1298.0,1.12236,-0.54568,-0.20738,0.26959,0.14781,0.0,1.69925,0.74255,0.0,0.44568,2.82748,0.0,0.0,0.0,0.0,"{'topnotes': ['Olibanum', 'Saffron'], 'midnotes': ['Woody Notes', 'Rose', 'Apple'], 'bottomnotes': ['Myrhh', 'Caramel', 'Ambergris']}"
1 Million Golden Oud,Rabanne,4.2,321.0,1.3855,-0.05455,-0.41538,0.30056,1.26951,2.29869,0.34793,0.0,0.0,0.48371,0.0,0.0,0.34761,0.0,0.0,"{'topnotes': ['Saffron', 'Bergamot', 'Nutmeg', 'Black Pepper'], 'midnotes': ['Gurjan balsam', 'Sandalwood', 'Patchouli'], 'bottomnotes': ['Labdanum', 'Leather', 'Cedarwood', 'Oud']}"
Black XS (2018),Rabanne,4.09,833.0,1.25901,0.15479,-0.36232,0.24601,1.18225,0.0,1.62346,1.55212,0.34995,2.03098,0.84617,0.0,0.0,0.0,0.0,"{'topnotes': ['Sage', 'Lemon', 'Marigold', 'Citruses'], 'midnotes': ['Praline', 'Tolu Balsam', 'Black Cardamom', 'Cinnamon'], 'bottomnotes': ['ebony tree', 'Black Amber', 'Palisander Rosewood', 'Patchouli']}"
Paco,Rabanne,3.9,1626.0,0.85153,0.89573,0.79408,0.17857,2.24526,0.0,0.0,1.52365,2.24214,0.0,0.0,0.0,0.34143,0.0,0.0,"{'topnotes': ['Coriander', 'Amalfi Lemon', 'Pine', 'Mandarin Orange'], 'midnotes': ['Lavender', 'Jasmine', 'Cyclamen', 'Tea'], 'bottomnotes': ['Musk', 'Tonka Bean', 'Virginia Cedar', 'Sandalwood']}"
Ultraviolet,Rabanne,4.04,2424.0,1.22939,0.45291,0.0445,0.23874,3.47024,0.0,1.58654,0.0,1.90855,0.35198,0.0,0.0,0.38653,0.0,0.0,"{'topnotes': ['Amber', 'Mint'], 'midnotes': ['Spicy Notes', 'Pepper', 'Vetiver'], 'bottomnotes': ['Vanilla', 'Oakmoss']}"
XS (2018),Rabanne,4.02,566.0,1.62733,0.48077,0.50464,0.15085,0.15995,0.0,0.0,0.32869,1.20107,0.0,0.0,0.0,0.0,0.0,0.0,"{'topnotes': ['Lemon', 'Bergamot', 'Mint'], 'midnotes': ['Juniper Berries', 'Geranium', 'Coriander'], 'bottomnotes': ['Rosemary', 'Sandalwood', 'Oakmoss']}"
Invictus Aqua (2018),Rabanne,3.89,1292.0,1.35897,0.02564,0.62918,0.17744,0.23248,0.0,0.70754,7.83197,0.38678,0.0,0.0,2.22537,0.4913,0.0,0.0,"{'topnotes': ['Grapefruit', 'Violet Leaf'], 'midnotes': ['Woody Notes', 'Violet', 'Palisander Rosewood', 'Sea Notes'], 'bottomnotes': ['Amberwood', 'Ambergris']}"
Narciso Rodriguez for Him Bleu Noir,Narciso Rodriguez,4.1,2481.0,1.41756,0.19839,0.0214,0.22678,1.05341,0.0,0.0,0.0,0.3848,0.48378,0.0,0.0,1.26645,0.0,0.0,"{'topnotes': ['Cardamom', 'Nutmeg'], 'midnotes': ['Musk'], 'bottomnotes': ['Cedar', 'Amber', 'Ebony Wood', 'Vetiver']}"
