Fragrance Name,Link
Le Male,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Male-430.html
Amore Caffè,https://www.fragrantica.com/perfume/Mancera/Amore-Caffe-87409.html
Babycat,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/Babycat-73149.html
La Nuit de l'Homme,https://www.fragrantica.com/perfume/Yves-Saint-Laurent/La-Nuit-de-l-Homme-5521.html
Bal d'Afrique,https://www.fragrantica.com/perfume/Byredo/Bal-d-Afrique-6458.html
Red Tobacco,https://www.fragrantica.com/perfume/Mancera/Red-Tobacco-46663.html
Oud Wood,https://www.fragrantica.com/perfume/Tom-Ford/Oud-Wood-1826.html
Ani,https://www.fragrantica.com/perfume/Nishane/Ani-54785.html
The One for Men Eau de Parfum,https://www.fragrantica.com/perfume/Dolce-Gabbana/The-One-for-Men-Eau-de-Parfum-31909.html
Acqua di Giò Profumo,https://www.fragrantica.com/perfume/Giorgio-Armani/Acqua-di-Gio-Profumo-29727.html
Bade'e Al Oud Honor & Glory,https://www.fragrantica.com/perfume/Lattafa-Perfumes/Bade-e-Al-Oud-Honor-Glory-84302.html
Ganymede,https://www.fragrantica.com/perfume/Marc-Antoine-Barrois/Ganymede-54720.html
Le Beau,https://www.fragrantica.com/perfume/Jean-Paul-Gaultier/Le-Beau-55785.html
Santal 33,https://www.fragrantica.com/perfume/Le-Labo/Santal-33-12201.html
Hacivat,https://www.fragrantica.com/perfume/Nishane/Hacivat-44174.html
Guidance,https://www.fragrantica.com/perfume/Amouage/Guidance-78656.html
Gris Charnel,https://www.fragrantica.com/perfume/BDK-Parfums/Gris-Charnel-57038.html
Torino21,https://www.fragrantica.com/perfume/Xerjoff/Torino21-70424.html
Emporio Armani Stronger With You Absolutely,https://www.fragrantica.com/perfume/Giorgio-Armani/Emporio-Armani-Stronger-With-You-Absolutely-64501.html
Noir Extreme,https://www.fragrantica.com/perfume/Tom-Ford/Noir-Extreme-29675.html
